id,x,y,z,traffic_light_id,tags,node_type
44,1.270531005,103.8443139,0,44000,<old_id>: 0, <Tlight>: 1,2
45,1.263823118,103.8424542,0,0,<old_id>: 0, <Tlight>: 0,2
47,1.268174359,103.8298592,0,0,<old_id>: 0, <Tlight>: 0,2
48,1.263408283,103.83015,0,0,<old_id>: 0, <Tlight>: 0,2
49,1.263006746,103.8181738,0,49000,<old_id>: 0, <Tlight>: 1,2
50,1.267725943,103.8164729,0,50000,<old_id>: 0, <Tlight>: 1,2
52,1.264977668,103.7905966,0,0,<old_id>: 0, <Tlight>: 0,2
55,1.309275542,103.8472114,0,0,<old_id>: 0, <Tlight>: 0,2
53,1.266963615,103.8563322,0,0,<old_id>: 0, <Tlight>: 0,2
66,1.299817839,103.7845022,0,0,<old_id>: 0, <Tlight>: 0,2
67,1.267954193,103.8236794,0,0,<old_id>: 0, <Tlight>: 0,2
106,1.302654491,103.8306518,0,0,<old_id>: 0, <Tlight>: 0,2
105,1.303196925,103.8398471,0,0,<old_id>: 0, <Tlight>: 0,2
102,1.308420247,103.8354628,0,0,<old_id>: 0, <Tlight>: 0,2
99,1.329467294,103.8043981,0,0,<old_id>: 0, <Tlight>: 0,3
98,1.33882804,103.8529933,0,0,<old_id>: 0, <Tlight>: 0,3
97,1.339038675,103.8420114,0,0,<old_id>: 0, <Tlight>: 0,3
92,1.293810934,103.8609483,0,92000,<old_id>: 0, <Tlight>: 0,2
91,1.265141825,103.8665477,0,0,<old_id>: 0, <Tlight>: 0,3
90,1.257532823,103.8709752,0,0,<old_id>: 0, <Tlight>: 0,3
89,1.267995105,103.87114,0,0,<old_id>: 0, <Tlight>: 0,3
88,1.328488514,103.8540591,0,0,<old_id>: 0, <Tlight>: 0,3
87,1.332144211,103.8496274,0,0,<old_id>: 0, <Tlight>: 0,3
86,1.335527536,103.8457827,0,0,<old_id>: 0, <Tlight>: 0,3
85,1.335353064,103.8491744,0,0,<old_id>: 0, <Tlight>: 0,3
84,1.332386562,103.8456375,0,0,<old_id>: 0, <Tlight>: 0,3
83,1.329260606,103.8412033,0,0,<old_id>: 0, <Tlight>: 0,3
80,1.326155714,103.8213631,0,80000,<old_id>: 0, <Tlight>: 1,2
79,1.326482156,103.8270062,0,79000,<old_id>: 0, <Tlight>: 1,2
78,1.332188129,103.8344075,0,78000,<old_id>: 0, <Tlight>: 1,2
76,1.339657177,103.8348216,0,76000,<old_id>: 0, <Tlight>: 1,2
75,1.335421975,103.8151173,0,75000,<old_id>: 0, <Tlight>: 1,2
74,1.333292564,103.8044188,0,74000,<old_id>: 0, <Tlight>: 1,2
73,1.3288067,103.8066331,0,0,<old_id>: 0, <Tlight>: 0,3
72,1.326656905,103.8007201,0,0,<old_id>: 0, <Tlight>: 0,3
71,1.313854495,103.7939404,0,0,<old_id>: 0, <Tlight>: 0,2
69,1.319011113,103.7871012,0,69000,<old_id>: 0, <Tlight>: 1,2
7,1.2748867,103.7846399,0,0,<oldid>: 0,0
51,1.256665613,103.8026422,0,0,<oldid>: 0,0
56,1.268898905,103.7963417,0,0,<oldid>: 0,0
57,1.291177522,103.8442294,0,0,<oldid>: 0,0
58,1.257957389,103.8162446,0,0,<oldid>: 0,0
59,1.258103916,103.8300532,0,0,<oldid>: 0,0
60,1.261930514,103.7869028,0,0,<oldid>: 0,0
61,1.260827079,103.8461749,0,0,<oldid>: 0,0
62,1.298669112,103.8406091,0,0,<oldid>: 0,0
63,1.301673599,103.8408146,0,0,<oldid>: 0,0
64,1.298238953,103.8525771,0,0,<oldid>: 0,0
65,1.308350745,103.8079847,0,0,<oldid>: 0,0
70,1.312354792,103.7644756,0,0,<oldid>: 0,0
77,1.340328999,103.8381959,0,0,<oldid>: 0,0
82,1.333602793,103.8234025,0,0,<oldid>: 0,0
93,1.322482804,103.843286,0,0,<oldid>: 0,0
94,1.288422747,103.8716051,0,0,<oldid>: 0,0
95,1.252821411,103.8709546,0,0,<oldid>: 0,0
96,1.343419492,103.8576526,0,0,<oldid>: 0,0
100,1.280403415,103.7744792,0,0,<oldid>: 0,0
101,1.314490878,103.794479,0,0,<oldid>: 0,0
